Descriptor,Statistics,p,alpha,Interpretation
Inhibition_at_5_uM,64384576.0,0.0,0.05,Different distribution (reject H0)
MW,46504839.0,0.0,0.05,Different distribution (reject H0)
NumHAcceptors,39876631.5,2.3542154405948223e-156,0.05,Different distribution (reject H0)
LogP,46149190.0,0.0,0.05,Different distribution (reject H0)
NumHDonors,31794955.0,0.1422163840813046,0.05,Same distribution (fail to reject H0)
