PUBCHEM_CID,Inhibition_at_5_uM,Activity_Class,SMILES,MW,LogP,NumHDonors,NumHAcceptors
6268493.0,75.0,Active (Strong/Moderate),C/C(=N\OC(=O)C1=CC=CS1)/C2CC2C3=CC=C(C=C3)OC,315.39400000000006,4.093100000000004,0.0,5.0
895212.0,81.0,Active (Strong/Moderate),C/C=C/C1=C(C(=C(C(=C1F)F)OC2=CC=C(C=C2)C(=O)O)F)F,326.24499999999995,4.766600000000002,1.0,2.0
5310346.0,77.3,Active (Strong/Moderate),C/C=C/CN1C2=C(N=C1SCCCC3=CC=CC=C3)N(C(=O)NC2=O)C,370.47800000000007,2.7242999999999995,1.0,4.0
1488876.0,77.7,Active (Strong/Moderate),C1/C(=C\C2=CC(=C(C=C2)F)F)/C(=O)C3=C(S1)SC=C3,294.3469999999999,4.398300000000002,0.0,3.0
9647465.0,95.3,Active (Strong/Moderate),C1/C(=N\N2C=NN=C2)/C=C(C1(C3=CC=CC=C3)O)C4=CC=CC=C4,316.36400000000003,2.8573000000000013,1.0,4.0
974936.0,81.9,Active (Strong/Moderate),C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)NN2C=NN=C2,321.551,2.3873999999999986,1.0,4.0
9550889.0,89.3,Active (Strong/Moderate),C1=C(C=C(C=C1Cl)Cl)N2C(=O)NC3=CC(=C(C=C3N2O)Cl)Cl,379.03,5.4629,2.0,3.0
2768895.0,100.0,Active (Strong/Moderate),C1=C(C=NC(=C1Cl)NCCN2C(=O)C=C(NC2=O)Cl)C(F)(F)F,369.13,2.3693,2.0,4.0
903240.0,93.1,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)/C=C/C(=O)NC2=CC=NC=C2)Cl,293.153,4.040300000000001,1.0,2.0
648098.0,95.1,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)C2C(=C(SC(=C2C#N)N)N)C#N)Cl,323.20799999999997,3.2115600000000004,2.0,5.0
1246693.0,77.9,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)CC(=O)NC2=NOC=C2)F,254.648,2.6483,1.0,3.0
2963113.0,78.8,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)CC(=O)NCCCN2C=CN=C2)F,295.74499999999995,2.4246,1.0,2.0
666624.0,83.0,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)CC2=NN=C(O2)C(=O)NCC3=CC=NC=C3)F,346.749,2.7779000000000016,1.0,5.0
135513630.0,76.7,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)CN2C=NC(=NCC3=CC=CO3)C4=C2N=CN4)Cl,374.231,3.8084000000000016,1.0,4.0
977945.0,75.3,Active (Strong/Moderate),C1=CC(=C(C(=C1)Cl)CSCC(=O)NC2=NC=CS2)Cl,333.265,4.321800000000001,1.0,4.0
1489542.0,79.7,Active (Strong/Moderate),C1=CC(=C(C(=C1)F)C(=O)NC2=NC(=S)SS2)F,290.34099999999995,3.4645900000000003,1.0,5.0
2726179.0,94.5,Active (Strong/Moderate),C1=CC(=C(C(=C1)N2C=CN=C2)C#N)N3C=CN=C3,235.25,1.9296799999999996,0.0,3.0
803458.0,93.2,Active (Strong/Moderate),C1=CC(=C(C=C1Br)Cl)OCCN2C=CN=C2,301.57099999999997,3.378000000000001,0.0,2.0
1367387.0,94.7,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Br)OCC2=NC(=NO2)C3=CC=NC=C3,366.6020000000001,4.126500000000003,0.0,5.0
803768.0,94.9,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Br)OCCN2C=CN=C2,301.57099999999997,3.378000000000002,0.0,2.0
5707905.0,77.9,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)/C=C(\C#N)/C2=NNC(=N2)CN3C=NC=N3,346.18100000000004,2.8154800000000018,1.0,5.0
873748.0,75.6,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)/C=C/C(=O)NCC2=CC=NC=C2,307.18,3.7180000000000026,1.0,2.0
763960.0,93.9,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)C(=O)NC2=NC(=S)SS2,323.251,4.49319,1.0,5.0
32238.0,94.8,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O,257.12,2.923500000000002,1.0,2.0
135473476.0,85.8,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)CO/N=C/NC(=O)NOCC2=C(C=C(C=N2)C(F)(F)F)Cl,471.6500000000001,4.951500000000002,2.0,5.0
2195500.0,83.3,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)NC(=O)NCC2=CC=NC=C2,296.157,3.7101000000000006,2.0,2.0
3871612.0,97.7,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)NC(=O)NCCCN2C=CN=C2,313.188,3.4017,2.0,2.0
779803.0,95.4,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCC(=O)NCC2=CC=NC=C2,311.16799999999995,3.0835999999999997,1.0,3.0
6603441.0,97.4,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCC(=O)NCCCN2C=CN=C2,328.199,2.7752,1.0,3.0
1767441.0,98.7,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCC2=CC=C(O2)C(=O)NC3=NN(C=C3)CC4=C(C(=CC(=C4F)F)F)F,514.2620000000002,6.218900000000003,1.0,4.0
700597.0,94.6,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCC2=NC(=NO2)C3=CC=NC=C3,322.151,4.017400000000002,0.0,5.0
1722540.0,100.3,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)NC2=CC=NC=C2,325.195,4.186100000000002,1.0,3.0
1971455.0,84.1,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCCCC2=NC(=NO2)C3=CC=NC=C3,350.205,4.450000000000003,0.0,5.0
759758.0,96.3,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)Cl)OCCN2C=CN=C2,257.11999999999995,3.2689000000000012,0.0,2.0
2368010.0,90.2,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)NC(=O)COC(=O)C2=CC=NC=C2)Cl,325.15099999999995,3.1839000000000004,1.0,4.0
1488444.0,99.1,Active (Strong/Moderate),C1=CC(=C(C=C1Cl)S(=O)(=O)NC2=NC(=CS2)C3=C(C=CS3)Cl)Cl,425.7710000000001,5.632600000000002,1.0,5.0
1475775.0,76.4,Active (Strong/Moderate),C1=CC(=C(C=C1F)F)NC(=O)C2=CN=C(C=C2)N3C=NC=N3,301.25600000000003,2.192799999999999,1.0,4.0
2211956.0,82.8,Active (Strong/Moderate),C1=CC(=C(C=C1F)F)NC(=O)NC2=CC=NC=C2,249.22000000000003,3.0038,2.0,2.0
2962163.0,97.7,Active (Strong/Moderate),C1=CC(=C(C=C1N2C(=O)C(NC2=O)(C(F)(F)F)NC(=O)C3=CC=NC=C3)Cl)F,416.718,2.618900000000001,2.0,4.0
2238183.0,79.4,Active (Strong/Moderate),C1=CC(=C(C=C1NC(=O)CSC2=NC=CC(=O)N2)Cl)Br,374.64699999999993,2.9166000000000007,2.0,4.0
649248.0,100.1,Active (Strong/Moderate),C1=CC(=C(C=C1NC(=O)NCCCN2C=CN=C2)Cl)Cl,313.188,3.4017000000000017,2.0,2.0
1488982.0,96.7,Active (Strong/Moderate),C1=CC(=C(C=C1NC(=O)OCC2=CN=CS2)Cl)Cl,303.16999999999996,4.198600000000001,1.0,4.0
841795.0,86.4,Active (Strong/Moderate),C1=CC(=C(C=C1NC(=S)NC2=CC(=C(C=C2)F)Cl)Cl)F,333.19,5.0805,2.0,1.0
6401469.0,98.7,Active (Strong/Moderate),C1=CC(=C(C=C1NC2=NN=C(C=C2)N3C=CN=C3)Cl)Cl,306.15600000000006,3.7127000000000008,1.0,4.0
3242297.0,99.2,Active (Strong/Moderate),C1=CC(=C(C=C1NS(=O)(=O)C2=CN=CN2)C(F)(F)F)Cl,325.69899999999996,2.8827000000000007,2.0,3.0
2948907.0,92.3,Active (Strong/Moderate),C1=CC(=C(C=C1OCCCN2C=NC=N2)Cl)Cl,272.135,3.054000000000002,0.0,3.0
5347285.0,80.9,Active (Strong/Moderate),C1=CC(=C(C=C1[N+](=O)[O-])/C=C/C2=NC(=O)NC(=C2)C(F)(F)F)Cl,345.664,3.5207000000000015,1.0,4.0
3407488.0,83.1,Active (Strong/Moderate),C1=CC(=C(C=C1[N+](=O)[O-])C2=NNN=N2)O,207.14900000000003,0.48049999999999954,2.0,6.0
2970626.0,90.8,Active (Strong/Moderate),C1=CC(=C2C(=C1)SC(=C2Cl)C(=O)NCCCN3C=CN=C3)F,337.80699999999996,3.7104000000000017,1.0,3.0
997073.0,83.3,Active (Strong/Moderate),C1=CC(=CC(=C1)Br)OCC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)CN4C=CC=N4,462.34700000000015,5.525200000000004,1.0,3.0
2923628.0,98.7,Active (Strong/Moderate),C1=CC(=CC(=C1)Br)OCCOCCN2C=CN=C2,311.1789999999999,2.7412,0.0,3.0
998947.0,81.5,Active (Strong/Moderate),C1=CC(=CC(=C1)C(=O)NC2=NN(C=C2)CC3=C(C(=CC(=C3F)F)F)F)CN4C=C(C=N4)[N+](=O)[O-],474.37400000000014,3.8931000000000022,1.0,5.0
6602833.0,89.9,Active (Strong/Moderate),C1=CC(=CC(=C1)C(=O)NCC2=CC=NC=C2)CN3C=C(C=N3)Br,371.238,3.0189000000000012,1.0,3.0
893460.0,93.5,Active (Strong/Moderate),C1=CC(=CC(=C1)C(=O)O)COC2=C(C=C(C=C2)CO)Cl,292.71799999999996,3.109500000000001,2.0,3.0
898897.0,98.7,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)/C=C/C(=O)NC2=CC=NC=C2,258.708,3.3869000000000016,1.0,2.0
3803930.0,77.7,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)C(C#N)C2=NC3=C(C=C2)C(=CC(=N3)C(F)(F)F)C(F)(F)F,415.724,5.976280000000004,0.0,3.0
943481.0,94.0,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)C2=NC(=C(O2)NCC3=CN=CC=C3)C#N,310.744,3.8737800000000018,1.0,5.0
3768601.0,91.2,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)CON2C3=C(N=CC=C3)N=C2C4=C(C=C(C=C4)Cl)Cl,404.6840000000001,5.687300000000002,0.0,3.0
4058808.0,76.4,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)CSC2=NC3=C(N2)C=NC=C3,275.764,3.9036000000000017,1.0,3.0
3818974.0,99.9,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)C2=CC(=C(C=C2)N3C=NC=N3)[N+](=O)[O-],343.7300000000001,3.0812000000000017,1.0,5.0
2574917.0,87.4,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)COC(=O)C2=CC=NC=C2,290.70599999999996,2.5305,1.0,4.0
135544645.0,99.0,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)CSC2=NC(=C(C(=O)N2)C#N)C3=CC=CO3,386.8200000000001,3.285780000000001,2.0,6.0
896598.0,81.2,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)NCC2=CC=NC=C2,261.712,3.0567,2.0,2.0
1094865.0,98.1,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)NCCC2=CC=NC=C2,275.739,3.0992000000000006,2.0,2.0
2932800.0,100.0,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)NCCCN2C=CN=C2,278.743,2.7483000000000004,2.0,2.0
5341017.0,89.9,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)O/N=C\C2=CC=NC=C2,275.695,3.3176000000000014,1.0,4.0
1488978.0,87.3,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)NC(=O)OCC2=CN=CS2,268.72499999999997,3.5452000000000012,1.0,4.0
5308444.0,84.7,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)OCC2=NC(=C(O2)NCC3=CC=CO3)C#N,329.743,3.983780000000002,1.0,6.0
976467.0,99.7,Active (Strong/Moderate),C1=CC(=CC(=C1)Cl)OCC2=NC(=C(O2)NCC3=CC=NC=C3)C#N,340.77,3.7857800000000017,1.0,6.0
9550623.0,85.2,Active (Strong/Moderate),C1=CC(=CC(=C1)F)CN2C3=C(C(=O)N(C2=O)CC4=CC=C(C=C4)C(=O)NCC5=CC=CO5)SC=C3,489.52800000000013,3.983400000000003,1.0,5.0
6898098.0,84.9,Active (Strong/Moderate),C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)Br)/C=N/O,324.149,3.9753000000000025,1.0,3.0
2564280.0,83.3,Active (Strong/Moderate),C1=CC(=CC(=C1)F)OC2=C3C=CN=CC3=C(C=C2)[N+](=O)[O-],284.24600000000004,4.0744000000000025,0.0,4.0
648090.0,79.1,Active (Strong/Moderate),C1=CC(=CC(=C1)N)C(=O)NC2=CC=CO2,202.213,2.1140999999999996,2.0,3.0
1265434.0,82.4,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)C2=CC=CO2)C(=O)NCC3=CC=CO3,310.309,3.054900000000001,2.0,4.0
2294137.0,77.0,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)C2=CC=CO2)NC(=O)CSC3=CC=C(C=C3)Cl,386.86,4.916100000000002,2.0,4.0
661170.0,77.6,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)Cl)C3=NN=C(O3)C4=CC=CO4,379.8030000000001,4.831200000000003,1.0,5.0
976770.0,78.2,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)CC2=CC=CS2)C(=O)NC3=CC=CO3,326.377,3.7746000000000013,2.0,4.0
4876717.0,87.0,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)CCN2C=CN=C2)C#N,240.266,1.78358,1.0,3.0
2997705.0,98.6,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)COC2=CC=C(C=C2)N3C=CN=C3)C#N,318.336,2.7614800000000006,1.0,4.0
3236565.0,83.8,Active (Strong/Moderate),C1=CC(=CC(=C1)NC(=O)NC2=CC=CS2)C#N,243.291,3.2637800000000006,2.0,3.0
902072.0,77.6,Active (Strong/Moderate),C1=CC(=CC(=C1)NC2=C(C=CC=N2)S(=O)(=O)N)C(F)(F)F,317.292,2.4913999999999996,2.0,4.0
11958559.0,90.7,Active (Strong/Moderate),C1=CC(=CC(=C1)NC2=NC3=C(N2)C=C(C=C3)Br)C(=O)NCC4=CC=CO4,411.2590000000001,4.592000000000002,3.0,4.0
