PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,Std.Err(IC50),nH,%Inhibition at 5 uM,Mean High,STD Deviation High,Mean Low,STD Deviation Low
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,% inhibition of CYP2C9 in primary screening,Mean luminescence signal of negative controls in the corresponding plate,Standard deviation (n=64) of negative controls in the corresponding plate,Mean luminescence signal of positive controls in the corresponding plate,Standard deviation (n=64) of positive controls in the corresponding plate
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,CPS,CPS,CPS,CPS
5240,4251232,3244945,C1CCC2(CC1)C(=CC(=O)O2)NCC3CCCO3,Inactive,0,,,,,,-7.2,79444,5131.6,317.08,281.21
5241,4246723,3241028,CNC(CC(=C)C=C)C1=CC=CC=C1,Inactive,0,,,,,,-10.5,79444,5131.6,317.08,281.21
5242,4250267,1284314,C1COCCN1C(=O)C2=C(N(N=C2)C3=CC=CC=C3)NC(=O)C4=CC=CO4,Inactive,0,,,,,,-0.3,79444,5131.6,317.08,281.21
5243,4242601,3237434,C1C(=O)N(C(S1)C2=CC=CC=N2)C3=CC=CC=C3,Inactive,0,,,,,,-5.9,79444,5131.6,317.08,281.21
5244,4241927,1181764,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC4=CC=CC=C4C=C3OC,Inactive,1,,,,,,3.1,79444,5131.6,317.08,281.21
5245,4243991,3238651,CCOC1=CC=C(C=C1)C(CC(=O)O)NC(=O)OCC,Inactive,1,,,,,,3.7,79444,5131.6,317.08,281.21
5246,4245422,3239895,CCCOC1=CC=C(C=C1)C2=NC(=NN2)N,Inactive,1,,,,,,3.7,79444,5131.6,317.08,281.21
5247,4244606,3239181,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=C(O3)N=CC=C4)Cl,Inactive,9,,,,,,23.5,79444,5131.6,317.08,281.21
5248,4246835,3241127,CCOC1=C(C=C(C=C1)C(=O)C)N2C(=O)C3C4C=CC(C3C2=O)C4=C(C)C,Inactive,3,,,,,,8.3,79444,5131.6,317.08,281.21
5249,4251992,3245603,CCOC1=C(C=C(C=C1)C(=O)C)N2C(=O)C3C4C=CC(C3C2=O)O4,Inactive,0,,,,,,-1.6,79444,5131.6,317.08,281.21
5250,4249467,3243415,CN(C)C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)OC,Inactive,0,,,,,,-47.6,79444,5131.6,317.08,281.21
